about,about,りまぴんについて
aboutof,about {{%1}},{{%1}} について
abort,Abort,欠番
aborted,process aborted.,処理を中断しました
action,Action,動作設定
activateupperlayer,activate upper layer,上位レイヤをアクティブ
addnewlayer,add new layer,新規動画レイヤ作成
addnewovl,add new overlay,新規修正レイヤ作成
alertabnomalprccs,[！！Caution！！] Abnormal processing,[！！注意！！] 異常処理です
alertcutconflict,The same scene has already been entered.<br>This scene can not be entered,既に同じカットが登録されています<br>このカットの登録はできません
alertcutillegal,Scene name is invalid  nThis scene can not be entered,カット番号が不正です<br>このカットの登録はできません
alertdurationchange,the duration of document is changed.,カットの継続時間が変更されます。
alertdiscardframes,contents of the erased frame are discarded.,消去されるフレームの内容は破棄されます。
alerttrackschange,layer counts of document is changed.,カットのレイヤ数が変更されます。
alertdiscardtracks,contents of the erased track are discarded.,消去されるトラックの内容は破棄されます。
alertdiscardedit,Current edits are discarded.,現在の編集内容は破棄されます。
alertnewdocumet,Create a new document,新規ドキュメントを作成します
animationdrawing,animationDrawing,動画
animationframeselectall,animation frame selectAll,アニメフレーム全選択
atcreatenewlayer,to Create a new Layer,新規レイヤ作成時に
backgroundcolor,background color,背景色
confirmedit,(You can edit the contents of the text box.),(テキストボックスの内容を編集できます)
confirmok,Is it OK?,よろしいですか？
confirmexecute,Do you want to run it?,実行してよろしいですか?
confirmcallecho,Save the document in the download folder with the following name.,次の名前でダウンロードフォルダに書類を保存します。
confirmcallechoswap,Save {{%1}} in the download folder with the following name.,次の名前でダウンロードフォルダに {{%1}} を保存します。
baseresolution,BaseResolution,基準解像度
bg,BG,背景
book,MG/FG,BOOK
cancel,Cancel,取消
cell,Cell,セル
change,Change,変更
close,Close,閉じる
common,Common,一般環境
confirmlayername,confirm layer name,レイヤ名を確認して下さい
cut,Cut [ctr]+[Y],Cut[ctr]+[X]
delete,Delete,削除
destruction,Destruction,破棄
document,document,ドキュメント
documenthtml,HTML document,HTML書類
documentxmap,xMap document,xMap書類
documentxps,Xps document,Xps書類
documenttdts,Tdts document,TDTS書類
documentxdts,Xdts document,XDTS書類
documentard,ARD document,ARD書類
documentardj,ARDJ document,ARDJ書類
documentcsv,Stylos-CSV document,Stylos-CSV書類
documentsts,STS document,STS書類
documenttsheet,t-Sheet document,t-Sheet書類
documenttvp,TVP-csv document,TVPaint-csv書類
documents,Documents,ドキュメント設定
drawingfunctions,drawingFunctions,作画機能設定
drawsettings,DrawSettings,作画設定
duplicateanimationframe,duplicate animation frame,アニメフレームを複製
edit,Edit,編集
elementsfilter,footages,素材フィルタ
export,Export,書出
failed,Processing failed,処理できませんでした
file,File,ファイル
filename,file name,ファイル名
filter,Filter,フィルタ
frame,Frame,フレーム
framerate,Framerate,フレームレート
imedit,ImputMedias,入力メディア編集
import,Import,読出
imset,入力メディア登録,入力メディア登録
inputdocname,Specify the document name,ドキュメントの名前を入力
install,install,インストール
keydrawing,KeyDrawing,原画
layerclassify,layerClassify,レイヤ仕分
layercontrol,layerControl,レイヤコントロール
layerrename,layer rename,レイヤ名変更
layout,Layout,レイアウト
load,Load,読込
makenewxps,make new eXposureSheet,新規タイムシートを作成します
modechange,mode change,モード切替
medias,Medias,メディア設定
newlayerbgcolor,bgColor of new layer,新規レイヤの背景色
newxps,new eXposureSheet,新規タイムシート
noanimationframes,no Animation Frames,アニメーションフレームがありません
nodocument,no document,ドキュメントがありません
nolayers,no layer for deploying,展開するレイヤがありません
noremovedata,no data to remove.,削除するデータがありません
nosvaedata,no data to save.,保存するデータがありません
notarget,no target items,対象アイテムがありません
nosigninservice,(You are not signed in to the service),（サービスにサインインしていません）
omedit,OutputMedias,出力メディア編集
omset,出力メディア登録,出力メディア登録
open,Open,開く
opus,Opus,制作番号
